,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PACSIN2,5.596721566370469,2.9245040552858472,0.7685416010505057,3.805264479227143,0.00014165274746461628,0.009200345947826826
DTWD1,3.394611863145598,2.923831897783986,0.7049180794039586,4.147761255118074,3.3574224332782847e-05,0.003465786621356913
ITGB5,3.006927832593227,2.830893214603928,0.8439456379576072,3.3543549338732745,0.0007955025213772853,0.02973691439623291
DNAJC27,2.394865887946061,2.815352259680822,0.8890277443728712,3.1667766023059256,0.0015413867969146645,0.04620010476269839
TLE1,11.003089852258245,2.7402300378278843,0.8418091710308392,3.2551677174915183,0.00113325420652483,0.03718341587845971
UBA2,17.649183701191653,2.7189563207051743,0.7825449076358187,3.4745051615242555,0.000511796517422262,0.021797497578082567
ARHGEF17,3.2332180221760636,2.695576082474051,0.8429482714446012,3.197795373439123,0.0013848250831934561,0.043087132528582026
ADH5,12.574990715725205,2.686319986885235,0.5847621398513009,4.593867837559283,4.3510500446652616e-06,0.0007518272261119514
ILK,25.280663961341354,2.679912578780174,0.404650307440446,6.622786464025082,3.5249005156958253e-11,4.5788457698888774e-08
CPQ,14.118082559666945,2.5767990501761977,0.7977333028158814,3.2301510305267125,0.0012372484131334166,0.03944013959902597
MGST3,207.17495095305335,2.416865986501955,0.7688958764685495,3.143294248894067,0.001670578141351375,0.04825879708964289
CRTC3,2.2064775115697763,2.401535324953516,0.5794153333482999,4.144756251229372,3.4017536121863466e-05,0.003465786621356913
SMIM14,18.658927678714594,2.317882359658316,0.5975238044670051,3.879146474718076,0.00010482362390180379,0.007360318240456386
NBEAL1,6.7039942973058775,2.2379326873360066,0.7041461631014772,3.1782218019605817,0.0014818134541282402,0.04529119239794316
LGALS1,1236.868060711393,2.231925355964809,0.607467761247171,3.674146182478097,0.0002386460827102026,0.013355576163601513
NMD3,8.364847626102529,2.214831120373057,0.6996956038569926,3.16542094614294,0.001548587361830935,0.04620010476269839
PPP1R12A,22.55079176109952,2.1985905828099797,0.5354211576729722,4.106282598852488,4.0207752786174796e-05,0.004017682374557004
SEPT7,178.62568397658083,2.164401890591392,0.5932452533648281,3.648409959144417,0.00026386834819997786,0.01438346957871241
LAPTM4A,445.23520694876197,2.152853465316296,0.4136474339193219,5.2045613940305255,1.9445533075413856e-07,5.613277214436133e-05
MAGED2,41.22880983858386,2.1323606148027316,0.6793687596354201,3.138738107338131,0.0016967702035289981,0.04843475198579779
MRPS6,31.12815429538559,2.084621819715038,0.6158570112425098,3.384912052083732,0.0007120106362723375,0.027816595985496732
SPRYD3,2.398843076664677,2.0115910817116505,0.6414471375083733,3.136020046056237,0.0017125749732445988,0.04843475198579779
